eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
11,14/01/2020,-4,1,0,1b,0,0,0,0,0,0,0,0,39.4
13,14/01/2020,-4,1,0,1b,0,0,0,0,0,0,0,0,39.1
14,14/01/2020,-4,1,0,1b,0,0,0,0,0,0,0,0,39.4
39,14/01/2020,-4,1,0,1b,0,1,0,0,0,0,1,1,40.3
58,14/01/2020,-4,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,14/01/2020,-4,1,0,1b,0,1,0,0,0,0,1,1,40
6,14/01/2020,-4,3,1,3a,0,1,0,0,0,0,1,1,39.7
16,14/01/2020,-4,3,1,3a,0,0,0,0,0,0,0,0,39.4
35,14/01/2020,-4,3,1,3a,0,0,0,0,0,0,0,0,39.1
51,14/01/2020,-4,3,1,3a,0,0,0,0,0,0,0,0,39.1
26,14/01/2020,-4,5,1,5a,0,0,0,0,0,0,0,0,38.8
28,14/01/2020,-4,5,1,5a,0,0,0,0,0,0,0,0,39.3
57,14/01/2020,-4,5,1,5a,0,0,0,0,0,0,0,0,38.8
827,14/01/2020,-4,5,1,5a,0,0,0,0,0,0,0,0,38.7
11,15/01/2020,-3,1,0,1b,0,1,0,0,0,0,1,1,39.6
13,15/01/2020,-3,1,0,1b,0,0,0,0,0,0,0,0,38.9
14,15/01/2020,-3,1,0,1b,0,0,0,0,0,0,0,0,39.4
39,15/01/2020,-3,1,0,1b,0,1,0,0,0,0,1,1,40.3
58,15/01/2020,-3,1,0,1b,0,0,0,0,0,0,0,0,39.3
64,15/01/2020,-3,1,0,1b,0,1,0,0,0,0,1,1,39.9
6,15/01/2020,-3,3,1,3a,0,1,0,0,0,0,1,1,39.6
16,15/01/2020,-3,3,1,3a,0,1,0,0,0,0,1,1,39.8
35,15/01/2020,-3,3,1,3a,0,1,0,0,0,0,1,1,39.4
51,15/01/2020,-3,3,1,3a,0,0,0,0,0,0,0,0,39.3
26,15/01/2020,-3,5,1,5a,0,0,0,0,0,0,0,0,39.5
28,15/01/2020,-3,5,1,5a,0,0,0,0,0,0,0,0,39.2
57,15/01/2020,-3,5,1,5a,0,0,0,0,0,0,0,0,39.4
827,15/01/2020,-3,5,1,5a,M,0,M,0,0,0,M,0,38.6
11,16/01/2020,-2,1,0,1b,0,1,0,0,0,0,1,1,39.6
13,16/01/2020,-2,1,0,1b,0,1,0,0,0,0,1,1,39.7
14,16/01/2020,-2,1,0,1b,0,0,0,0,0,0,0,0,39.2
58,16/01/2020,-2,1,0,1b,0,1,0,0,0,0,1,1,39.7
