eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,,,,
1,7/4/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.3,,,,
8,7/4/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.8,,,,
20,7/4/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.6,,,,
21,7/4/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.7,,,,
23,7/4/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39,,,,
24,7/4/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.1,,,,
25,7/4/2020,0,4,0,4b,0,0,0,0,0,0,0,0,38.6,,,,
39,7/4/2020,0,4,0,4b,0,0,0,0,0,0,0,0,38.7,,,,
9,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,38.2,,,,
30,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39,,,,
44,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,38.6,,,,
51,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.3,,,,
53,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.1,,,,
61,7/4/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.2,,,,
2,7/4/2020,0,6,1,6a,0,1,0,0,0,0,1,1,39.8,,,,
36,7/4/2020,0,6,1,6a,0,0,0,0,0,0,0,0,38.9,,,,
46,7/4/2020,0,6,1,6a,0,0,0,0,0,0,0,0,39.2,,,,
47,7/4/2020,0,6,1,6a,0,1,0,0,0,0,1,1,39.6,,,,
12,7/4/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.3,,,,
17,7/4/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.4,,,,
32,7/4/2020,0,6,0,6b,0,1,0,0,0,0,1,1,39.6,,,,
37,7/4/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.2,,,,
1,8/4/2020,1,4,1,4a,0,0,0,0,0,0,0,0,38.6,,,,
