eartag,Species,date,dpi,barn,serostatus,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
122,Caprine,9/10/2020,0,3,N,0,0,0,0,0,0,0,0,39.1
122,Caprine,10/10/2020,1,3,N,0,0,0,0,0,0,0,0,38.4
122,Caprine,11/10/2020,2,3,N,0,0,0,0,0,0,0,0,39.2
122,Caprine,12/10/2020,3,3,N,0,0,0,0,0,0,0,0,38.9
122,Caprine,13/10/2020,4,3,N,1,1,0,0,0,0,2,2,39.5
122,Caprine,14/10/2020,5,3,N,1,1,0,0,1,0,3,3,39.6
122,Caprine,15/10/2020,6,3,N,1,1,0,0,1,0,3,3,39.9
122,Caprine,16/10/2020,7,3,N,1,2,0,0,1,0,4,4,40.2
122,Caprine,17/10/2020,8,3,N,1,1,0,1,1,0,4,4,39.7
122,Caprine,18/10/2020,9,3,N,1,0,0,0,1,0,2,2,38.3
122,Caprine,19/10/2020,10,3,N,1,0,0,1,1,0,3,3,39
122,Caprine,20/110/2020,11,3,N,1,0,0,1,0,0,2,2,38.8
122,Caprine,21/10/2020,12,3,N,1,0,0,0,1,0,2,2,38.2
122,Caprine,22/10/2020,13,3,N,1,0,0,0,0,0,1,1,38.9
122,Caprine,23/10/2020,14,3,N,1,0,0,0,0,0,1,1,38.6
122,Caprine,24/10/2020,15,3,N,1,0,0,0,0,0,1,1,38.7
122,Caprine,25/10/2020,16,3,N,1,0,0,0,0,0,1,1,38.8
131,Caprine,9/10/2020,0,6,N,0,0,0,0,0,0,0,0,39
131,Caprine,10/10/2020,1,6,N,0,0,0,0,0,0,0,0,38.4
131,Caprine,11/10/2020,2,6,N,0,0,0,0,0,0,0,0,39.1
131,Caprine,12/10/2020,3,6,N,1,0,0,0,0,0,1,1,38.8
131,Caprine,13/10/2020,4,6,N,1,0,0,0,0,0,1,1,39
131,Caprine,14/10/2020,5,6,N,1,0,0,0,1,0,2,2,38.7
131,Caprine,15/10/2020,6,6,N,1,0,0,0,0,0,1,1,39.3
131,Caprine,15/10/2020,7,6,N,1,0,0,0,0,0,1,1,39
131,Caprine,17/10/2020,8,6,N,1,0,0,0,0,0,1,1,38.8
131,Caprine,18/10/2020,9,6,N,1,0,0,0,0,0,1,1,38.1
131,Caprine,19/10/2020,10,6,N,1,0,0,0,0,0,1,1,38.7
131,Caprine,20/110/2020,11,6,N,1,0,0,0,0,0,1,1,39
131,Caprine,21/10/2020,12,6,N,0,0,0,0,0,0,0,0,38.2
131,Caprine,22/10/2020,13,6,N,0,0,0,0,0,0,0,0,38
131,Caprine,23/10/2020,14,6,N,0,0,0,0,0,0,0,0,38.3
131,Caprine,24/10/2020,15,6,N,1,0,0,0,0,0,1,1,37.7
131,Caprine,25/10/2020,16,6,N,0,0,0,0,0,0,0,0,38
135,Caprine,9/10/2020,0,3,N,0,0,0,0,0,0,0,0,39
135,Caprine,10/10/2020,1,3,N,0,0,0,0,0,0,0,0,37.4
135,Caprine,11/10/2020,2,3,N,0,0,0,0,0,0,0,0,38
135,Caprine,12/10/2020,3,3,N,2,0,0,0,0,0,2,2,37.5
135,Caprine,13/10/2020,4,3,N,1,0,0,0,0,0,1,1,38.4
135,Caprine,14/10/2020,5,3,N,1,0,0,0,0,0,1,1,38.1
135,Caprine,15/10/2020,6,3,N,2,0,0,0,0,0,2,2,37.7
135,Caprine,16/10/2020,7,3,N,2,0,0,0,1,0,3,3,38.2
135,Caprine,17/10/2020,8,3,N,2,0,0,0,0,0,2,2,39
