eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt,,,
103,Bovine,22/8/2020,0,3,1,3a,0,0,0,0,0,0,0,0,38.8,A,,,
106,Bovine,22/8/2020,0,3,1,3a,0,0,0,0,0,0,0,0,38.4,A,,,
107,Bovine,22/8/2020,0,3,1,3a,0,0,0,0,0,0,0,0,38.9,A,,,
109,Bovine,22/8/2020,0,3,1,3a,0,0,0,0,0,0,0,0,38.9,A,,,
122,Caprine,22/8/2020,0,3,0,3b,0,0,0,0,0,0,0,0,39.3,A,,,
135,Caprine,22/8/2020,0,3,0,3b,0,0,0,0,0,0,0,0,38.7,A,,,
145,Caprine,22/8/2020,0,3,0,3b,0,0,0,0,0,0,0,0,38.6,A,,,
148,Caprine,22/8/2020,0,3,0,3b,0,0,0,0,0,0,0,0,38.3,A,,,
100,Bovine,22/8/2020,0,4,0,4c,0,0,0,0,0,0,0,0,38.5,C,,,
112,Bovine,22/8/2020,0,4,0,4c,0,0,0,0,0,0,0,0,39.1,C,,,
130,Caprine,22/8/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.7,C,,,
138,Caprine,22/8/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.9,C,,,
143,Caprine,22/8/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.6,C,,,
146,Caprine,22/8/2020,0,4,1,4a,0,0,0,0,0,0,0,0,39.3,C,,,
129,Caprine,22/8/2020,0,4,0,4b,0,0,0,0,0,0,0,0,38.3,C,,,
136,Caprine,22/8/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.3,C,,,
121,Caprine,22/8/2020,0,5,1,5a,0,0,0,0,0,0,0,0,38.7,B,,,
128,Caprine,22/8/2020,0,5,1,5a,0,0,0,0,0,0,0,0,38.3,B,,,
133,Caprine,22/8/2020,0,5,1,5a,0,0,0,0,0,0,0,0,39.3,B,,,
139,Caprine,22/8/2020,0,5,1,5a,0,0,0,0,0,0,0,0,38.8,B,,,
134,Caprine,22/8/2020,0,5,0,5b,0,0,0,0,0,0,0,0,38,B,,,
142,Caprine,22/8/2020,0,5,0,5b,0,0,0,0,0,0,0,0,38,B,,,
144,Caprine,22/8/2020,0,5,0,5b,0,0,0,0,0,0,0,0,38.7,B,,,
147,Caprine,22/8/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.1,B,,,
99,Bovine,22/8/2020,0,6,0,6c,0,0,0,0,0,0,0,0,38.9,Control,,,
110,Bovine,22/8/2020,0,6,0,6c,0,0,0,0,0,0,0,0,39,Control,,,
113,Bovine,22/8/2020,0,6,0,6c,0,0,0,0,0,0,0,0,39.2,Control,,,
131,Caprine,22/8/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.4,Control,,,
137,Caprine,22/8/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.3,Control,,,
141,Caprine,22/8/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.3,Control,,,
103,Bovine,23/8/2020,1,3,1,3a,0,0,0,0,0,0,0,0,39.2,A,,,
106,Bovine,23/8/2020,1,3,1,3a,0,0,0,0,0,0,0,0,38.6,A,,,
107,Bovine,23/8/2020,1,3,1,3a,0,0,0,0,0,0,0,0,38.6,A,,,
109,Bovine,23/8/2020,1,3,1,3a,0,0,0,0,0,0,0,0,39,A,,,
122,Caprine,23/8/2020,1,3,0,3b,0,0,0,0,0,0,0,0,39.4,A,,,
135,Caprine,23/8/2020,1,3,0,3b,0,0,0,0,0,0,0,0,39.1,A,,,
145,Caprine,23/8/2020,1,3,0,3b,0,0,0,0,0,0,0,0,38.7,A,,,
148,Caprine,23/8/2020,1,3,0,3b,0,0,0,0,0,0,0,0,39.1,A,,,
100,Bovine,23/8/2020,1,4,0,4c,0,0,0,0,0,0,0,0,38.6,C,,,
112,Bovine,23/8/2020,1,4,0,4c,0,0,0,0,0,0,0,0,38.7,C,,,
130,Caprine,23/8/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39,C,,,
138,Caprine,23/8/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.4,C,,,
143,Caprine,23/8/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.1,C,,,
146,Caprine,23/8/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.3,C,,,
129,Caprine,23/8/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39,C,,,
136,Caprine,23/8/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39,C,,,
121,Caprine,23/8/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.7,B,,,
128,Caprine,23/8/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.8,B,,,
133,Caprine,23/8/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.7,B,,,
139,Caprine,23/8/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.4,B,,,
134,Caprine,23/8/2020,1,5,0,5b,0,0,0,0,0,0,0,0,38.4,B,,,
142,Caprine,23/8/2020,1,5,0,5b,0,0,0,0,0,0,0,0,38.2,B,,,
144,Caprine,23/8/2020,1,5,0,5b,0,0,0,0,0,0,0,0,38.4,B,,,
147,Caprine,23/8/2020,1,5,0,5b,0,0,0,0,0,0,0,0,39.1,B,,,
99,Bovine,23/8/2020,1,6,0,6c,0,0,0,0,0,0,0,0,39,Control,,,
110,Bovine,23/8/2020,1,6,0,6c,0,0,0,0,0,0,0,0,39.1,Control,,,
113,Bovine,23/8/2020,1,6,0,6c,0,0,0,0,0,0,0,0,38.9,Control,,,
131,Caprine,23/8/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39,Control,,,
137,Caprine,23/8/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39.3,Control,,,
141,Caprine,23/8/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39.4,Control,,,
103,Bovine,24/8/2020,2,3,1,3a,0,0,0,0,0,0,0,0,38.6,A,,,
106,Bovine,24/8/2020,2,3,1,3a,0,0,0,0,0,0,0,0,38.2,A,,,
107,Bovine,24/8/2020,2,3,1,3a,0,0,0,0,0,0,0,0,38.4,A,,,
109,Bovine,24/8/2020,2,3,1,3a,0,0,0,0,0,0,0,0,38.7,A,,,
122,Caprine,24/8/2020,2,3,0,3b,0,0,0,0,0,0,0,0,39.4,A,,,
135,Caprine,24/8/2020,2,3,0,3b,0,0,0,0,0,0,0,0,38.8,A,,,
145,Caprine,24/8/2020,2,3,0,3b,0,0,0,0,0,0,0,0,38.4,A,,,
148,Caprine,24/8/2020,2,3,0,3b,0,0,0,0,0,0,0,0,38.9,A,,,
100,Bovine,24/8/2020,2,4,0,4c,0,0,0,0,0,0,0,0,38.4,C,,,
112,Bovine,24/8/2020,2,4,0,4c,0,0,0,0,0,0,0,0,39,C,,,
130,Caprine,24/8/2020,2,4,1,4a,0,0,0,0,0,0,0,0,39.1,C,,,
138,Caprine,24/8/2020,2,4,1,4a,0,0,0,0,0,0,0,0,38.8,C,,,
143,Caprine,24/8/2020,2,4,1,4a,0,0,0,0,0,0,0,0,38.8,C,,,
146,Caprine,24/8/2020,2,4,1,4a,0,0,0,0,0,0,0,0,39,C,,,
129,Caprine,24/8/2020,2,4,0,4b,0,0,0,0,0,0,0,0,38.5,C,,,
136,Caprine,24/8/2020,2,4,0,4b,0,0,0,0,0,0,0,0,39.3,C,,,
121,Caprine,24/8/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.6,B,,,
128,Caprine,24/8/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.6,B,,,
133,Caprine,24/8/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.9,B,,,
139,Caprine,24/8/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.7,B,,,
134,Caprine,24/8/2020,2,5,0,5b,0,0,0,0,0,0,0,0,39.4,B,,,
142,Caprine,24/8/2020,2,5,0,5b,0,0,0,0,0,0,0,0,38.6,B,,,
144,Caprine,24/8/2020,2,5,0,5b,0,0,0,0,0,0,0,0,38.5,B,,,
147,Caprine,24/8/2020,2,5,0,5b,0,0,0,0,0,0,0,0,39.4,B,,,
99,Bovine,24/8/2020,2,6,0,6c,0,0,0,0,0,0,0,0,38.7,Control,,,
110,Bovine,24/8/2020,2,6,0,6c,0,0,0,0,0,0,0,0,38.8,Control,,,
113,Bovine,24/8/2020,2,6,0,6c,0,0,0,0,0,0,0,0,38.7,Control,,,
131,Caprine,24/8/2020,2,6,0,6b,0,0,0,0,0,0,0,0,39,Control,,,
137,Caprine,24/8/2020,2,6,0,6b,0,0,0,0,0,0,0,0,39.1,Control,,,
141,Caprine,24/8/2020,2,6,0,6b,0,0,0,0,0,0,0,0,39.1,Control,,,
