eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt
260,Bovine,27/2/21,0,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
266,Bovine,27/2/21,0,1,1,1a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
274,Bovine,27/2/21,0,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
275,Bovine,27/2/21,0,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
239,Caprine,27/2/21,0,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
241,Caprine,27/2/21,0,1,0,1b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
246,Caprine,27/2/21,0,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
255,Caprine,27/2/21,0,1,0,1b,0,0,0,0,0,0,0,0,38.1,Experimental Barn
259,Bovine,27/2/21,0,2,1,2a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
262,Bovine,27/2/21,0,2,1,2a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
263,Bovine,27/2/21,0,2,1,2a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
271,Bovine,27/2/21,0,2,1,2a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
234,Caprine,27/2/21,0,2,0,2b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
235,Caprine,27/2/21,0,2,0,2b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
252,Caprine,27/2/21,0,2,0,2b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
254,Caprine,27/2/21,0,2,0,2b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
233,Caprine,27/2/21,0,3,1,3a,0,0,0,0,0,0,0,0,38,Postive Control
247,Caprine,27/2/21,0,3,1,3a,0,0,0,0,0,0,0,0,38.6,Postive Control
236,Caprine,27/2/21,0,4,0,4b,0,0,0,0,0,0,0,0,39.4,Negative Control
243,Caprine,27/2/21,0,4,0,4b,0,0,0,0,0,0,0,0,38.6,Negative Control
258,Bovine,27/2/21,0,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
265,Bovine,27/2/21,0,5,1,5a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
269,Bovine,27/2/21,0,5,1,5a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
