eartag,barn,species,sex,dpi,media,o1,o2,o3,o4,o5,n1,n2,n3,n4,n5,r1,r2,r3,r4,r5
11,1,G,F,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,S,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,S,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,G,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,S,F,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,1,G,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,S,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,S,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,3,S,F,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,S,F,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,5,G,F,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,G,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,5,G,M,0,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,S,M,0,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,S,F,0,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,G,M,0,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,0,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,G,F,4,dpbs,,,,,,,,,,,,,,,
13,1,S,M,4,dpbs,,,,,,,,,,,,,,,
14,1,S,M,4,dpbs,,,,,,,,,,,,,,,
58,1,G,M,4,dpbs,,,,,,,,,,,,,,,
64,1,S,F,4,dpbs,,,,,,,,,,,,,,,
808,1,G,M,4,dpbs,,,,,,,,,,,,,,,
6,3,S,M,4,dpbs,,,,,,,,,,,,,,,
16,3,S,M,4,dpbs,0,0,0,0,0,,,,,,,,,,
35,3,S,F,4,dpbs,0,0,0,0,0,0,0,0,0,0,,,,,
51,3,S,F,4,dpbs,,,,,,,,,,,,,,,
26,5,G,F,4,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
28,5,G,M,4,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
57,5,G,M,4,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
827,5,G,M,4,dpbs,,,,,,,,,,,0,0,1,1,1
6,3,S,M,4,dmem,,,,,,,,,,,,,,,
51,3,S,F,4,dmem,,,,,,,,,,,,,,,
