eartag,type,species,sex,dpi,barn,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r,isolation2_dmem,i2o,i2n,i2r
11,C,G,F,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
13,C,S,M,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
14,C,S,M,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
58,C,G,M,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
64,C,S,F,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
808,C,G,M,0,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
6,E,S,M,0,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
16,E,S,M,0,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
35,E,S,F,0,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
51,E,S,F,0,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
26,E,G,F,0,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
28,E,G,M,0,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
57,E,G,M,0,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
827,E,G,M,0,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
11,C,G,F,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
13,C,S,M,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
14,C,S,M,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
58,C,G,M,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
64,C,S,F,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
808,C,G,M,4,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
6,E,S,M,4,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
16,E,S,M,4,3,20.9957,21.0757,U,U,U,U,28.0697,28.1273,21.0357,#DIV/0!,#DIV/0!,28.0985,,0,0,,,,,,
35,E,S,F,4,3,26.2933,25.9707,27.669,28.6541,U,U,U,U,26.132,28.16155,#DIV/0!,#DIV/0!,,0,0,0,,,,,
51,E,S,F,4,3,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
26,E,G,F,4,5,27.2367,28.835,U,U,30.8701,31.8509,U,U,28.03585,#DIV/0!,31.3605,#DIV/0!,rectal,0,0,,0,,,,
28,E,G,M,4,5,27.7429,27.695,U,U,29.2876,31.7992,28.7192,29.0922,27.71895,#DIV/0!,30.5434,28.9057,rectal,0,0,,0,0,0,,0
57,E,G,M,4,5,28.3869,29.4664,U,U,U,U,30.0583,31.0923,28.92665,#DIV/0!,#DIV/0!,30.5753,rectal,0,0,,0,1,0,,1
827,E,G,M,4,5,U,U,U,U,29.4153,29.4309,U,U,#DIV/0!,#DIV/0!,29.4231,#DIV/0!,rectal,1,0,0,1,,,,
11,C,G,F,7,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,needed,,,,,,,,
13,C,S,M,7,1,U,U,U,U,U,U,29.0522,28.6633,#DIV/0!,#DIV/0!,#DIV/0!,28.85775,needed,,,,,,,,
14,C,S,M,7,1,U,U,U,U,U,U,24.4018,24.6688,#DIV/0!,#DIV/0!,#DIV/0!,24.5353,needed,,,,,,,,
58,C,G,M,7,1,U,U,U,U,U,U,24.5089,24.4032,#DIV/0!,#DIV/0!,#DIV/0!,24.45605,needed,,,,,,,,
64,C,S,F,7,1,U,U,U,U,U,U,26.3681,26.223,#DIV/0!,#DIV/0!,#DIV/0!,26.29555,needed,,,,,,,,
