eartag,type,species,sex,dpi,barn,innoc,barni,od,sp,status,note,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,notes,isolation1_dpbs,i1o,i1n,i1r
1,E,G,F,0,4,1,4a,0.047,-0.04,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
8,E,G,F,0,4,1,4a,0.051,0.26,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
20,E,G,M,0,4,1,4a,0.056,0.64,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
21,E,G,M,0,4,1,4a,0.051,0.26,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
23,E,G,M,0,4,0,4b,0.046,-0.11,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
24,E,G,F,0,4,0,4b,0.048,0.04,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
25,E,G,F,0,4,0,4b,0.047,-0.04,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
39,E,G,M,0,4,0,4b,0.045,-0.19,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
9,C,G,F,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,0,5,0,5b,NA,NA,NA,not tested to save icELISA money,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,0,6,1,6a,0.044,-0.262467192,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
12,E,S,M,0,6,0,6b,0.054,0.48743907,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
17,E,S,M,0,6,0,6b,0.068,1.537307837,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
32,E,S,M,0,6,0,6b,0.047,-0.037495313,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
36,E,S,F,0,6,1,6a,0.054,0.48743907,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
37,E,S,M,0,6,0,6b,0.053,0.412448444,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
46,E,S,F,0,6,1,6a,0.052,0.337457818,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
47,E,S,M,0,6,1,6a,0.05,0.04,Neg,not tested to save icELISA money,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
1,E,G,F,4,4,1,4a,0.58,42.99,Pos,,U,U,U,U,28.1,29.4,31.7,33.2,#DIV/0!,#DIV/0!,28.75,32.45,,,1,,,1
8,E,G,F,4,4,1,4a,3.281,264.39,Pos,,U,U,22.7,22.9,U,U,36.6,40.8,#DIV/0!,22.8,#DIV/0!,38.7,,,1,,1,
20,E,G,M,4,4,1,4a,0.091,2.91,Neg,,27.1,27.3,U,U,U,U,30.3,30.2,27.2,#DIV/0!,#DIV/0!,30.25,,,0,0,,
21,E,G,M,4,4,1,4a,0.128,5.94,Neg,,U,U,U,U,U,U,41.6,U,#DIV/0!,#DIV/0!,#DIV/0!,41.6,,,,,,
23,E,G,M,4,4,0,4b,0.064,0.7,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
24,E,G,F,4,4,0,4b,0.058,0.2,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
25,E,G,F,4,4,0,4b,0.059,0.29,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
39,E,G,M,4,4,0,4b,0.06,0.37,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
9,C,G,F,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,4,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,4,6,1,6a,3.48,280.6967213,Pos,,U,U,U,U,U,U,38.6,36.4,#DIV/0!,#DIV/0!,#DIV/0!,37.5,,,,,,
12,E,S,M,4,6,0,6b,0.064,0.696721311,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
17,E,S,M,4,6,0,6b,0.255,16.35245902,Neg,,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
