eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
260,Bovine,27/2/21,0,1,1,1a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,27/2/21,0,1,1,1a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,27/2/21,0,1,1,1a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,27/2/21,0,1,1,1a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,27/2/21,0,1,0,1b,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Caprine,27/2/21,0,1,0,1b,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Caprine,27/2/21,0,1,0,1b,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Caprine,27/2/21,0,1,0,1b,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Bovine,27/2/21,0,2,1,2a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,27/2/21,0,2,1,2a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,27/2/21,0,2,1,2a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,27/2/21,0,2,1,2a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,27/2/21,0,2,0,2b,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Caprine,27/2/21,0,2,0,2b,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Caprine,27/2/21,0,2,0,2b,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Caprine,27/2/21,0,2,0,2b,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Caprine,27/2/21,0,3,1,3a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
247,Caprine,27/2/21,0,3,1,3a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
236,Caprine,27/2/21,0,4,0,4b,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Caprine,27/2/21,0,4,0,4b,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Bovine,27/2/21,0,5,1,5a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,27/2/21,0,5,1,5a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,27/2/21,0,5,1,5a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,27/2/21,0,5,1,5a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,27/2/21,0,5,0,5b,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Caprine,27/2/21,0,5,0,5b,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Caprine,27/2/21,0,5,0,5b,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Caprine,27/2/21,0,5,0,5b,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Bovine,27/2/21,0,6,1,6a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,27/2/21,0,6,1,6a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,27/2/21,0,6,1,6a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,27/2/21,0,6,1,6a,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,27/2/21,0,6,0,6b,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Caprine,27/2/21,0,6,0,6b,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Caprine,27/2/21,0,6,0,6b,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Caprine,27/2/21,0,6,0,6b,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Bovine,3/3/2021,4,1,1,1a,0.088,-1.954602774,Neg,0.701,75.35,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,3/3/2021,4,1,1,1a,0.1,-0.441361917,Neg,1.202,138.52,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,3/3/2021,4,1,1,1a,0.11,0.819672131,Neg,0.123,2.46,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,3/3/2021,4,1,1,1a,0.083,-2.585119798,Neg,1.395,162.86,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,3/3/2021,4,1,0,1b,0.076,-3.467843632,Neg,0.076,-3.47,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,3/3/2021,4,1,0,1b,0.075,-3.593947037,Neg,0.064,-4.98,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,3/3/2021,4,1,0,1b,0.078,-3.215636822,Neg,0.07,-4.22,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,3/3/2021,4,1,0,1b,0.067,-4.602774275,Neg,0.1,-0.44,Neg,,,,,,,,,,,,,,,,,,,,
