eartag,species,barn,dpi,od1,od2,od_avg,sn,status
6,S,3,0,0.904,0.895,0.8995,69.62074303,Neg
16,S,3,0,1.007,0.972,0.9895,76.58668731,Neg
35,S,3,0,1.068,1.066,1.067,82.58513932,Neg
51,S,3,0,0.917,0.754,0.8355,64.66718266,Neg
26,G,5,0,0.986,0.95,0.968,74.92260062,Neg
28,G,5,0,1.088,1.034,1.061,82.12074303,Neg
57,G,5,0,0.958,0.958,0.958,74.14860681,Neg
827,G,5,0,1.066,1.064,1.065,82.43034056,Neg
11,G,1,0,0.849,0.811,0.83,64.24148607,Neg
58,G,1,0,0.99,1.021,1.0055,77.8250774,Neg
808,G,1,0,0.986,0.993,0.9895,76.58668731,Neg
13,S,1,0,1.03,1.086,1.058,81.88854489,Neg
14,S,1,0,0.921,0.983,0.952,73.68421053,Neg
64,S,1,0,1.073,1.095,1.084,83.90092879,Neg
6,S,3,4,0.83,0.831,0.8305,64.28018576,Neg
16,S,3,4,1.15,1.136,1.143,88.46749226,Neg
35,S,3,4,1.045,1.024,1.0345,80.06965944,Neg
51,S,3,4,0.14,0.15,1.13,66.77,Pos
26,G,5,4,0.904,0.837,0.8705,67.37616099,Neg
28,G,5,4,1.067,1.033,1.05,81.26934985,Neg
57,G,5,4,1.05,1.033,1.0415,80.61145511,Neg
827,G,5,4,1.084,0.983,1.0335,79.99226006,Neg
11,G,1,4,0.831,0.813,0.822,63.62229102,Neg
58,G,1,4,1.068,1.036,1.052,81.42414861,Neg
808,G,1,4,1.012,0.986,0.999,77.32198142,Neg
13,S,1,4,0.88,0.86,0.87,67.3374613,Neg
14,S,1,4,0.88,0.864,0.872,67.49226006,Neg
64,S,1,4,1.066,1,1.033,79.95356037,Neg
6,S,3,7,0.368,0.363,0.3655,28.28947368,Pos
16,S,3,7,0.126,0.111,0.1185,9.171826625,Pos
35,S,3,7,0.144,0.119,0.1315,10.17801858,Pos
51,S,3,7,0.164,0.196,0.18,13.93188854,Pos
26,G,5,7,0.215,0.226,0.2205,17.06656347,Pos
28,G,5,7,0.245,0.234,0.2395,18.5371517,Pos
57,G,5,7,0.323,0.281,0.302,23.374613,Pos
827,G,5,7,0.156,0.143,0.1495,11.57120743,Pos
11,G,1,7,0.96,0.916,0.938,72.6006192,Neg
58,G,1,7,1.127,1.097,1.112,86.06811146,Neg
808,G,1,7,1.088,1.091,1.0895,84.32662539,Neg
13,S,1,7,0.976,0.99,0.983,76.08359133,Neg
14,S,1,7,0.926,0.922,0.924,71.51702786,Neg
64,S,1,7,0.975,0.926,0.9505,73.56811146,Neg
6,S,3,10,0.08,0.074,0.077,7.723169509,Pos
16,S,3,10,0.073,0.077,0.075,7.522567703,Pos
35,S,3,10,0.083,0.078,0.0805,8.074222668,Pos
51,S,3,10,0.07,0.076,0.073,7.321965898,Pos
26,G,5,10,0.081,0.087,0.084,8.425275827,Pos
28,G,5,10,0.104,0.093,0.0985,9.879638917,Pos
57,G,5,10,0.07,0.066,0.068,6.820461384,Pos
827,G,5,10,0.093,0.088,0.0905,9.077231695,Pos
11,G,1,10,0.89,0.719,0.8045,80.69207623,Neg
58,G,1,10,0.974,0.863,0.9185,92.12637914,Neg
808,G,1,10,NA,NA,NA,NA,NA
13,S,1,10,1.148,0.983,1.0655,106.8706118,Neg
14,S,1,10,0.851,0.759,0.805,80.74222668,Neg
64,S,1,10,1.142,1.036,1.089,109.227683,Neg
6,S,3,14,0.131,0.124,0.1275,12.7883651,Pos
16,S,3,14,0.2,0.21,0.21,14.41,Pos
35,S,3,14,0.195,0.198,0.1965,19.70912738,Pos
51,S,3,14,0.105,0.105,0.105,10.53159478,Pos
26,G,5,14,0.121,0.119,0.12,12.03610832,Pos
28,G,5,14,0.092,0.093,0.0925,9.277833501,Pos
57,G,5,14,0.121,0.124,0.1225,12.28686058,Pos
827,G,5,14,0.178,0.176,0.177,17.75325978,Pos
11,G,1,14,0.884,0.853,0.8685,87.111334,Neg
58,G,1,14,1.091,1.032,1.0615,106.4694082,Neg
808,G,1,14,NA,NA,NA,NA,NA
13,S,1,14,1.102,0.96,1.031,103.4102307,Neg
14,S,1,14,0.924,0.823,0.8735,87.61283852,Neg
64,S,1,14,1.052,0.967,1.0095,101.2537613,Neg
6,S,3,17,0.179,0.178,0.1785,17.90371113,Pos
16,S,3,17,0.246,0.239,0.2425,24.32296891,Pos
35,S,3,17,0.256,0.258,0.257,25.777332,Pos
51,S,3,17,0.146,0.15,0.148,14.8445336,Pos
26,G,5,17,0.133,0.134,0.1335,13.39017051,Pos
28,G,5,17,NA,NA,NA,NA,NA
57,G,5,17,0.129,0.13,0.1295,12.9889669,Pos
827,G,5,17,0.155,0.152,0.1535,15.39618857,Pos
11,G,1,17,1.03,1.012,1.021,102.4072217,Neg
58,G,1,17,1.083,1.169,1.126,112.9388164,Neg
808,G,1,17,NA,NA,NA,NA,NA
13,S,1,17,1.126,1.175,1.1505,115.3961886,Neg
14,S,1,17,1.042,1.023,1.0325,103.560682,Neg
64,S,1,17,1.151,1.066,1.1085,111.1835507,Neg
6,S,3,21,0.15,0.15,0.15,15.92,Pos
16,S,3,21,0.16,0.16,0.16,16.61,Pos
35,S,3,21,0.14,0.14,0.14,14.29,Pos
51,S,3,21,0.11,0.11,0.11,11.67,Pos
26,G,5,21,0.11,0.11,0.11,11.19,Pos
28,G,5,21,NA,NA,NA,NA,NA
57,G,5,21,0.11,0.11,0.11,11.61,Pos
827,G,5,21,0.13,0.13,0.13,13.87,Pos
11,G,1,21,0.71,0.68,0.69,72.99,Neg
58,G,1,21,0.8,0.82,0.81,85.39,Neg
808,G,1,21,NA,NA,NA,NA,NA
13,S,1,21,0.81,0.77,0.79,82.92,Neg
14,S,1,21,0.7,0.74,0.72,75.72,Neg
64,S,1,21,0.66,0.7,0.68,71.05,Neg
6,S,3,28,0.14,0.14,0.14,14.29,Pos
16,S,3,28,0.16,0.15,0.15,16.03,Pos
35,S,3,28,0.11,0.81,0.18,10.45,Pos
51,S,3,28,0.1,0.09,0.09,9.83,Pos
26,G,5,28,0.12,0.12,0.12,12.45,Pos
28,G,5,28,NA,NA,NA,NA,NA
57,G,5,28,0.09,0.09,0.09,9.14,Pos
827,G,5,28,0.12,0.13,0.12,12.87,Pos
11,G,1,28,0.69,0.74,0.72,75.25,Neg
58,G,1,28,0.79,0.86,0.83,86.71,Neg
808,G,1,28,NA,NA,NA,NA,NA
13,S,1,28,0.81,0.86,0.84,87.86,Neg
14,S,1,28,0.81,0.77,0.79,82.82,Neg
64,S,1,28,0.84,0.84,0.84,88.49,Neg
