eartag,species,barn,innoc,barni,dpi,od1,od2,od_avg,sn,status,,,,,
1,G,4,1,4a,0,0.88,0.85,0.87,71.17,Neg,,,,,
8,G,4,1,4a,0,0.93,0.9,0.91,74.83,Neg,,,,,
20,G,4,1,4a,0,1.02,0.97,1,81.77,Neg,,,,,
21,G,4,1,4a,0,0.98,0.93,0.95,78.32,Neg,,,,,
23,G,4,0,4b,0,0.79,0.77,0.78,63.98,Neg,,,,,
24,G,4,0,4b,0,0.99,1,1,81.72,Neg,,,,,
25,G,4,0,4b,0,0.94,0.91,0.92,75.93,Neg,,,,,
39,G,4,0,4b,0,1.07,1.05,1.06,87.06,Neg,,,,,
9,G,5,0,5b,0,1.06,1.02,1.04,85.13,Neg,,,,,
30,G,5,0,5b,0,0.77,0.78,0.77,63.33,Neg,,,,,
44,G,5,0,5b,0,0.92,0.92,0.92,75.89,Neg,,,,,
51,S,5,0,5b,0,0.97,0.95,0.96,78.64,Neg,,,,,
53,S,5,0,5b,0,0.89,0.86,0.87,71.79,Neg,,,,,
61,S,5,0,5b,0,0.82,0.79,0.81,66.2,Neg,,,,,
2,S,6,1,6a,0,0.78,0.95,0.86,70.76,Neg,,,,,
12,S,6,0,6b,0,0.97,0.97,0.97,79.75,Neg,,,,,
17,S,6,0,6b,0,0.99,0.98,0.98,80.78,Neg,,,,,
32,S,6,0,6b,0,0.85,0.83,0.84,68.67,Neg,,,,,
36,S,6,1,6a,0,1.09,1.08,1.08,88.79,Neg,,,,,
37,S,6,0,6b,0,0.98,0.96,0.97,67.81,Neg,,,,,
46,S,6,1,6a,0,0.85,0.84,0.85,59.05,Doubt,,,,,
47,S,6,1,6a,0,0.88,0.88,0.88,72.53,Neg,,,,,
1,G,4,1,4a,4,0.87,0.87,0.87,71.09,Neg,,,,,
8,G,4,1,4a,4,0.97,1.12,1.04,85.63,Neg,,,,,
20,G,4,1,4a,4,0.95,0.92,0.94,76.84,Neg,,,,,
21,G,4,1,4a,4,0.97,0.95,0.96,78.52,Neg,,,,,
23,G,4,0,4b,4,0.8,0.77,0.79,64.48,Neg,,,,,
24,G,4,0,4b,4,1,0.96,0.98,80.12,Neg,,,,,
25,G,4,0,4b,4,0.95,0.95,0.95,77.91,Neg,,,,,
39,G,4,0,4b,4,0.98,0.95,0.97,79.47,Neg,,,,,
9,G,5,0,5b,4,0.95,0.96,0.96,78.48,Neg,,,,,
30,G,5,0,5b,4,0.82,0.81,0.82,66.94,Neg,,,,,
44,G,5,0,5b,4,1.02,0.99,1,82.46,Neg,,,,,
51,S,5,0,5b,4,0.97,0.98,0.98,80.12,Neg,,,,,
53,S,5,0,5b,4,0.89,0.89,0.89,73.39,Neg,,,,,
61,S,5,0,5b,4,0.89,0.84,0.87,71.33,Neg,,,,,
2,S,6,1,6a,4,0.87,0.89,0.88,61.25,Neg,,,,,
12,S,6,0,6b,4,0.98,0.98,0.98,80.53,Neg,,,,,
17,S,6,0,6b,4,0.87,0.87,0.87,71.38,Neg,,,,,
32,S,6,0,6b,4,0.86,0.82,0.84,69.12,Neg,,,,,
36,S,6,1,6a,4,1.06,1.01,1.04,85.13,Neg,,,,,
37,S,6,0,6b,4,0.78,0.78,0.78,63.82,Neg,,,,,
46,S,6,1,6a,4,0.95,0.92,0.93,65.02,Neg,,,,,
47,S,6,1,6a,4,0.88,0.82,0.85,69.69,Neg,,,,,
1,G,4,1,4a,7,0.15,0.15,0.15,16,Pos,,,,,
8,G,4,1,4a,7,0.14,0.13,0.13,14.44,Pos,,,,,
20,G,4,1,4a,7,0.15,0.15,0.15,16.16,Pos,,,,,
21,G,4,1,4a,7,0.35,0.33,0.34,36.45,Pos,,,,,
23,G,4,0,4b,7,0.61,0.62,0.61,65.81,Neg,,,,,
24,G,4,0,4b,7,0.79,0.81,0.8,85.94,Neg,,,,,
25,G,4,0,4b,7,0.7,0.71,0.7,75.63,Neg,,,,,
39,G,4,0,4b,7,0.78,0.77,0.77,82.66,Neg,,,,,
9,G,5,0,5b,7,0.85,0.83,0.84,90.12,Neg,,,,,
30,G,5,0,5b,7,0.59,0.59,0.59,63.23,Neg,,,,,
44,G,5,0,5b,7,0.79,0.78,0.78,84.11,Neg,,,,,
51,S,5,0,5b,7,0.83,0.81,0.82,87.76,Neg,,,,,
53,S,5,0,5b,7,0.67,0.65,0.66,70.91,Neg,,,,,
61,S,5,0,5b,7,0.72,0.71,0.72,77.13,Neg,,,,,
2,S,6,1,6a,7,0.23,0.19,0.21,14.48,Pos,,,,,
12,S,6,0,6b,7,0.73,0.71,0.72,77.29,Neg,,,,,
17,S,6,0,6b,7,0.72,0.73,0.72,77.4,Neg,,,,,
32,S,6,0,6b,7,0.66,0.66,0.66,70.8,Neg,,,,,
36,S,6,1,6a,7,0.09,0.09,0.09,9.98,Pos,,,,,
37,S,6,0,6b,7,0.65,0.65,0.65,69.51,Neg,,,,,
46,S,6,1,6a,7,0.13,0.13,0.13,14.28,Pos,,,,,
47,S,6,1,6a,7,0.09,0.09,0.09,9.29,Pos,,,,,
1,G,4,1,4a,10,0.09,0.09,0.09,9.34,Pos,,,,,
8,G,4,1,4a,10,0.08,0.08,0.08,8.48,Pos,,,,,
20,G,4,1,4a,10,0.09,0.09,0.09,9.23,Pos,,,,,
21,G,4,1,4a,10,0.09,0.09,0.09,9.55,Pos,,,,,
23,G,4,0,4b,10,0.7,0.67,0.68,73.32,Neg,,,,,
24,G,4,0,4b,10,0.88,0.86,0.87,93.67,Neg,,,,,
25,G,4,0,4b,10,0.82,0.78,0.8,85.94,Neg,,,,,
39,G,4,0,4b,10,0.81,0.74,0.78,83.2,Neg,,,,,
9,G,5,0,5b,10,0.86,0.79,0.83,88.57,Neg,,,,,
30,G,5,0,5b,10,0.68,0.65,0.66,71.23,Neg,,,,,
44,G,5,0,5b,10,0.84,0.84,0.84,89.96,Neg,,,,,
51,S,5,0,5b,10,0.89,0.9,0.9,96.24,Neg,,,,,
53,S,5,0,5b,10,0.79,0.8,0.8,85.51,Neg,,,,,
61,S,5,0,5b,10,0.82,0.8,0.81,86.53,Neg,,,,,
2,S,6,1,6a,10,0.1,0.11,0.11,11.54,Pos,,,,,
12,S,6,0,6b,10,0.83,0.85,0.84,90.18,Neg,,,,,
17,S,6,0,6b,10,0.7,0.71,0.71,75.79,Neg,,,,,
