eartag,species,date,dpi,barn,innoc,barni,od1,od2,delete,od_avg,sn,status,expt
260,Bovine,27/2/21,0,1,1,1a,1.086,1.063,N,1.0745,70.80724876,Neg,Experimental barn
266,Bovine,27/2/21,0,1,1,1a,1.376,1.37,N,1.373,90.47775947,Neg,Experimental barn
274,Bovine,27/2/21,0,1,1,1a,1.132,1.092,N,1.112,73.27841845,Neg,Experimental barn
275,Bovine,27/2/21,0,1,1,1a,1.06,1.051,N,1.0555,69.55518946,Neg,Experimental barn
239,Caprine,27/2/21,0,1,0,1b,1.155,1.151,N,1.153,75.98023064,Neg,Experimental barn
241,Caprine,27/2/21,0,1,0,1b,1.253,1.218,N,1.2355,81.41680395,Neg,Experimental barn
246,Caprine,27/2/21,0,1,0,1b,1.245,1.256,N,1.2505,82.40527183,Neg,Experimental barn
255,Caprine,27/2/21,0,1,0,1b,1.066,0.977,N,1.0215,67.31466227,Neg,Experimental barn
259,Bovine,27/2/21,0,2,1,2a,1.181,1.085,N,1.133,74.66227348,Neg,Experimental barn
262,Bovine,27/2/21,0,2,1,2a,1.057,1.059,N,1.058,69.7199341,Neg,Experimental barn
263,Bovine,27/2/21,0,2,1,2a,0.97,1.014,P,0.992,65.37067545,Neg,Experimental barn
271,Bovine,27/2/21,0,2,1,2a,1.013,1.016,N,1.0145,66.85337727,Neg,Experimental barn
234,Caprine,27/2/21,0,2,0,2b,1.112,1.113,N,1.1125,73.31136738,Neg,Experimental barn
235,Caprine,27/2/21,0,2,0,2b,1.094,1.059,N,1.0765,70.93904448,Neg,Experimental barn
252,Caprine,27/2/21,0,2,0,2b,1.169,1.16,N,1.1645,76.73805601,Neg,Experimental barn
254,Caprine,27/2/21,0,2,0,2b,1.21,1.192,N,1.201,79.14332784,Neg,Experimental barn
233,Caprine,27/2/21,0,3,1,3a,1.168,1.131,N,1.1495,75.74958814,Neg,Positive control
247,Caprine,27/2/21,0,3,1,3a,1.071,1.097,N,1.084,71.43327842,Neg,Positive control
236,Caprine,27/2/21,0,4,0,4b,1.218,1.192,N,1.205,79.40691928,Neg,Negative control
243,Caprine,27/2/21,0,4,0,4b,1.038,1.046,N,1.042,68.66556837,Neg,Negative control
258,Bovine,27/2/21,0,5,1,5a,1.13,1.207,N,1.1685,77.00164745,Neg,Experimental barn
265,Bovine,27/2/21,0,5,1,5a,1.094,1.11,N,1.102,72.61943987,Neg,Experimental barn
